haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
1978:2:LAT:ZBA:LPT:6:23;LAT;ZBA;LPT;1978;;100;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:24;LAT;ZBA;LPT;1978;;79;;0;0;0;0;NA;3.7;0.81
1978:2:LAT:ZBA:LPT:6:25;LAT;ZBA;LPT;1978;;82;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:26;LAT;ZBA;LPT;1978;;67;;0;0;0;0;NA;3.5;0.86
1978:2:LAT:ZBA:LPT:6:27;LAT;ZBA;LPT;1978;;81;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:28;LAT;ZBA;LPT;1978;;62;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:29;LAT;ZBA;LPT;1978;;65;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:30;LAT;ZBA;LPT;1978;;120;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:31;LAT;ZBA;LPT;1978;;120;;0;0;0;0;NA;3.8;0.79
1978:4:LAT:ZBA:LPT:12:1;LAT;ZBA;LPT;1978;;90;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:10;LAT;ZBA;LPT;1978;;90;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:11;LAT;ZBA;LPT;1978;;50;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:12;LAT;ZBA;LPT;1978;;54;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:13;LAT;ZBA;LPT;1978;;95;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:14;LAT;ZBA;LPT;1978;;82;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:15;LAT;ZBA;LPT;1978;;72;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:16;LAT;ZBA;LPT;1978;;61;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:17;LAT;ZBA;LPT;1978;;53;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:18;LAT;ZBA;LPT;1978;;44;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:19;LAT;ZBA;LPT;1978;;87;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:2;LAT;ZBA;LPT;1978;;70;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:20;LAT;ZBA;LPT;1978;;71;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:21;LAT;ZBA;LPT;1978;;60;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:3;LAT;ZBA;LPT;1978;;48;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:4;LAT;ZBA;LPT;1978;;70;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:5;LAT;ZBA;LPT;1978;;42;;0;0;0;0;NA;3.5;0.86
1978:4:LAT:ZBA:LPT:12:6;LAT;ZBA;LPT;1978;;75;;0;0;0;0;NA;3;1
1978:4:LAT:ZBA:LPT:12:7;LAT;ZBA;LPT;1978;;62;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:8;LAT;ZBA;LPT;1978;;65;;0;0;0;0;NA;3.7;0.81
1978:4:LAT:ZBA:LPT:12:9;LAT;ZBA;LPT;1978;;105;;0;0;0;0;NA;3.5;0.86
1979:1:LAT:ZBA:LBT:1:32;LAT;ZBA;LBT;1979;82;71;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1979:1:LAT:ZBA:LBT:1:33;LAT;ZBA;LBT;1979;82;58;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1979:1:LAT:ZBA:LBT:1:34;LAT;ZBA;LBT;1979;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.8;1.07
